frame, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU45_c
0,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
1,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
2,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
3,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
4,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
5,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
6,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
7,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
8,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
9,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
10,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
11,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
12,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
13,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
14,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
15,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
16,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
17,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
18,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
19,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
20,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
21,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
22,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
23,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
24,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
25,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
26,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
27,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
28,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
29,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
30,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
31,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
32,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
33,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
34,0.029524118,0.025925875,0.3397082,0.4892499,0.16533381,0.4642426,0.0027624965,0.29164636,0.27067992,0.5005316,0.022299558,0.1541431,0.0190894,0.29580253,0.39267385,0.19976768,0.17144836
