frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.02, 0.36, 0.47, 0.62, 0.09, 0.82, 0.00, 0.00, 0.23, 0.00, 0.00, 0.39, 0.00, 0.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.22, 0.14, 0.59, 0.30, 0.07, 0.63, 0.00, 0.00, 0.26, 0.00, 0.01, 0.22, 0.00, 0.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.31, 0.12, 0.61, 0.20, 0.05, 0.54, 0.00, 0.00, 0.26, 0.00, 0.05, 0.20, 0.00, 0.81, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.27, 0.11, 0.53, 0.13, 0.07, 0.53, 0.00, 0.00, 0.19, 0.00, 0.06, 0.29, 0.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.15, 0.11, 0.53, 0.11, 0.11, 0.57, 0.00, 0.00, 0.20, 0.00, 0.07, 0.34, 0.04, 0.63, 0.00, 0.00, 0.60, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.21, 0.01, 0.42, 0.00, 0.10, 0.38, 0.00, 0.00, 0.20, 0.00, 0.04, 0.24, 0.10, 0.44, 0.00, 0.00, 1.49, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
7,  0.000,  0.98,  1, 0.22, 0.01, 0.38, 0.00, 0.07, 0.17, 0.00, 0.00, 0.17, 0.00, 0.02, 0.27, 0.24, 0.18, 0.05, 0.00, 2.46, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
8,  0.000,  0.98,  1, 0.23, 0.01, 0.41, 0.00, 0.08, 0.19, 0.00, 0.03, 0.08, 0.00, 0.01, 0.30, 0.26, 0.06, 0.27, 0.16, 2.47, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
9,  0.000,  0.98,  1, 0.09, 0.00, 0.58, 0.00, 0.21, 0.42, 0.00, 0.15, 0.02, 0.00, 0.00, 0.36, 0.32, 0.00, 0.69, 0.48, 1.81, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
10,  0.000,  0.98,  1, 0.01, 0.00, 0.76, 0.00, 0.38, 0.72, 0.02, 0.30, 0.00, 0.00, 0.00, 0.29, 0.29, 0.00, 1.11, 0.76, 0.84, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
11,  0.000,  0.98,  1, 0.00, 0.00, 0.76, 0.00, 0.46, 0.78, 0.03, 0.36, 0.00, 0.00, 0.00, 0.16, 0.36, 0.00, 1.37, 1.04, 0.22, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
12,  0.000,  0.98,  1, 0.00, 0.00, 0.79, 0.00, 0.45, 0.78, 0.03, 0.39, 0.00, 0.00, 0.05, 0.10, 0.28, 0.00, 1.44, 1.08, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
13,  0.000,  0.98,  1, 0.05, 0.00, 0.63, 0.00, 0.39, 0.60, 0.03, 0.30, 0.00, 0.00, 0.11, 0.00, 0.36, 0.00, 1.35, 1.10, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
14,  0.000,  0.98,  1, 0.12, 0.00, 0.54, 0.00, 0.32, 0.51, 0.01, 0.21, 0.00, 0.00, 0.22, 0.00, 0.30, 0.00, 1.18, 0.86, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
15,  0.000,  0.98,  1, 0.16, 0.00, 0.38, 0.03, 0.32, 0.41, 0.04, 0.06, 0.00, 0.00, 0.32, 0.00, 0.25, 0.00, 0.93, 0.61, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
16,  0.000,  0.98,  1, 0.14, 0.00, 0.34, 0.06, 0.29, 0.45, 0.06, 0.00, 0.00, 0.00, 0.39, 0.00, 0.14, 0.00, 0.72, 0.38, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
17,  0.000,  0.98,  1, 0.07, 0.00, 0.26, 0.06, 0.30, 0.44, 0.12, 0.00, 0.00, 0.00, 0.41, 0.00, 0.11, 0.00, 0.41, 0.18, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0.000,  0.98,  1, 0.04, 0.00, 0.28, 0.03, 0.28, 0.52, 0.19, 0.00, 0.00, 0.00, 0.32, 0.00, 0.11, 0.00, 0.17, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
