frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.25, 0.00, 1.34, 0.00, 0.11, 0.74, 0.00, 0.00, 0.00, 0.00, 1.16, 1.62, 0.14, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.56, 0.00, 1.55, 0.00, 0.05, 0.76, 0.00, 0.00, 0.00, 0.00, 1.20, 1.47, 0.20, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.71, 0.00, 1.66, 0.00, 0.04, 0.65, 0.00, 0.00, 0.00, 0.00, 1.29, 1.42, 0.24, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.69, 0.00, 1.58, 0.00, 0.04, 0.45, 0.00, 0.00, 0.00, 0.00, 1.38, 1.43, 0.19, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.66, 0.00, 1.51, 0.00, 0.02, 0.35, 0.00, 0.00, 0.00, 0.00, 1.35, 1.26, 0.19, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.69, 0.00, 1.44, 0.01, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 1.24, 1.06, 0.23, 0.13, 0.00, 0.15, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.64, 0.05, 1.42, 0.18, 0.07, 0.38, 0.00, 0.00, 0.00, 0.00, 0.75, 0.85, 0.41, 0.06, 0.42, 0.65, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.59, 0.07, 1.31, 0.32, 0.19, 0.48, 0.00, 0.02, 0.03, 0.00, 0.36, 0.70, 0.43, 0.01, 1.06, 1.41, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
9,  0.000,  0.98,  1, 0.55, 0.20, 1.23, 0.62, 0.38, 0.63, 0.00, 0.02, 0.07, 0.00, 0.00, 0.52, 0.44, 0.00, 1.61, 1.89, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0.000,  0.98,  1, 0.67, 0.17, 1.12, 0.63, 0.54, 0.79, 0.00, 0.02, 0.26, 0.00, 0.00, 0.30, 0.37, 0.00, 1.71, 1.97, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
