frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.00, 0.00, 1.98, 0.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.19, 0.49, 1.17, 0.00, 1.43, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.02, 0.00, 2.00, 0.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.35, 0.46, 1.19, 0.00, 1.21, 0.00, 0.26, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.02, 0.00, 2.15, 0.78, 0.00, 0.03, 0.00, 0.00, 0.00, 0.29, 0.30, 0.99, 0.00, 0.83, 0.17, 0.63, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.00, 0.00, 2.15, 1.06, 0.00, 0.03, 0.00, 0.02, 0.00, 0.17, 0.12, 0.76, 0.00, 0.45, 0.40, 1.08, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.00, 0.00, 2.12, 1.25, 0.00, 0.10, 0.00, 0.05, 0.00, 0.01, 0.00, 0.43, 0.00, 0.14, 0.76, 1.50, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.00, 0.00, 1.94, 1.26, 0.00, 0.17, 0.00, 0.05, 0.00, 0.00, 0.00, 0.24, 0.06, 0.04, 0.90, 1.73, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.00, 0.00, 1.72, 1.24, 0.05, 0.30, 0.00, 0.07, 0.00, 0.00, 0.00, 0.06, 0.07, 0.00, 0.97, 1.83, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.00, 0.00, 1.62, 1.32, 0.16, 0.49, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.16, 0.00, 0.91, 1.88, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9,  0.000,  0.98,  1, 0.00, 0.00, 1.41, 1.53, 0.24, 0.58, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.27, 0.00, 0.78, 2.07, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0.000,  0.98,  1, 0.00, 0.00, 1.33, 1.51, 0.24, 0.61, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.26, 0.03, 0.62, 2.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11,  0.000,  0.98,  1, 0.00, 0.00, 1.19, 1.34, 0.13, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.17, 0.18, 0.32, 2.41, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
12,  0.000,  0.98,  1, 0.01, 0.06, 1.12, 0.88, 0.05, 0.26, 0.00, 0.00, 0.00, 0.00, 0.18, 0.32, 0.00, 0.62, 0.15, 2.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
13,  0.000,  0.98,  1, 0.01, 0.10, 1.12, 0.55, 0.00, 0.15, 0.00, 0.00, 0.00, 0.00, 0.66, 0.80, 0.00, 1.07, 0.00, 1.80, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
14,  0.000,  0.98,  1, 0.01, 0.17, 1.15, 0.18, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 1.30, 1.31, 0.00, 1.28, 0.00, 1.21, 0.41, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
15,  0.000,  0.98,  1, 0.00, 0.25, 1.30, 0.11, 0.00, 0.09, 0.00, 0.00, 0.00, 0.00, 1.53, 1.33, 0.00, 0.96, 0.00, 1.01, 1.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
