frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.53, 1.20, 0.60, 0.00, 0.00, 0.00, 0.00, 1.77, 0.55, 0.36, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.61, 1.20, 0.62, 0.05, 0.04, 0.00, 0.00, 1.81, 0.67, 0.32, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.70, 1.23, 0.65, 0.05, 0.04, 0.00, 0.00, 1.87, 0.68, 0.33, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.76, 1.26, 0.70, 0.01, 0.00, 0.00, 0.00, 1.84, 0.65, 0.35, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.81, 1.32, 0.77, 0.00, 0.00, 0.00, 0.00, 1.89, 0.58, 0.33, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.85, 1.34, 0.74, 0.00, 0.00, 0.00, 0.00, 1.91, 0.50, 0.21, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.75, 1.31, 0.73, 0.02, 0.00, 0.00, 0.00, 1.97, 0.48, 0.14, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.72, 1.27, 0.77, 0.02, 0.00, 0.00, 0.00, 1.94, 0.39, 0.13, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
9,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.69, 1.30, 0.80, 0.01, 0.00, 0.00, 0.00, 1.94, 0.41, 0.23, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
10,  0.000,  0.98,  1, 0.00, 0.05, 0.00, 0.00, 0.05, 0.00, 0.00, 0.74, 1.32, 0.81, 0.00, 0.00, 0.00, 0.00, 2.02, 0.32, 0.21, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
11,  0.000,  0.98,  1, 0.00, 0.10, 0.00, 0.00, 0.07, 0.00, 0.00, 0.75, 1.35, 0.82, 0.00, 0.00, 0.00, 0.00, 2.11, 0.37, 0.23, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
12,  0.000,  0.98,  1, 0.00, 0.10, 0.00, 0.00, 0.05, 0.00, 0.00, 0.76, 1.32, 0.84, 0.00, 0.00, 0.05, 0.00, 2.17, 0.37, 0.11, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
13,  0.000,  0.98,  1, 0.00, 0.10, 0.00, 0.00, 0.07, 0.00, 0.00, 0.78, 1.35, 0.84, 0.02, 0.00, 0.12, 0.00, 2.17, 0.36, 0.12, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
14,  0.000,  0.98,  1, 0.00, 0.11, 0.02, 0.00, 0.10, 0.00, 0.00, 0.81, 1.38, 0.88, 0.06, 0.00, 0.15, 0.00, 2.27, 0.31, 0.14, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
15,  0.000,  0.98,  1, 0.00, 0.14, 0.02, 0.00, 0.11, 0.00, 0.00, 0.81, 1.39, 0.97, 0.06, 0.00, 0.22, 0.00, 2.33, 0.31, 0.20, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
16,  0.000,  0.98,  1, 0.00, 0.14, 0.02, 0.00, 0.10, 0.00, 0.00, 0.86, 1.40, 1.00, 0.04, 0.00, 0.27, 0.00, 2.33, 0.38, 0.18, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
17,  0.000,  0.98,  1, 0.00, 0.08, 0.00, 0.00, 0.10, 0.00, 0.00, 0.88, 1.39, 0.97, 0.01, 0.00, 0.38, 0.00, 2.34, 0.40, 0.11, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
18,  0.000,  0.98,  1, 0.00, 0.06, 0.00, 0.00, 0.11, 0.00, 0.00, 0.92, 1.41, 0.86, 0.00, 0.00, 0.36, 0.00, 2.34, 0.40, 0.16, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
19,  0.000,  0.98,  1, 0.00, 0.02, 0.00, 0.00, 0.15, 0.00, 0.00, 0.93, 1.40, 0.84, 0.00, 0.00, 0.29, 0.00, 2.42, 0.33, 0.13, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
20,  0.000,  0.98,  1, 0.00, 0.04, 0.00, 0.00, 0.13, 0.00, 0.00, 0.97, 1.40, 0.84, 0.02, 0.00, 0.25, 0.00, 2.36, 0.27, 0.16, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
21,  0.000,  0.98,  1, 0.03, 0.04, 0.02, 0.00, 0.17, 0.00, 0.00, 0.98, 1.41, 0.86, 0.02, 0.00, 0.29, 0.00, 2.29, 0.21, 0.06, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
22,  0.000,  0.98,  1, 0.03, 0.03, 0.02, 0.00, 0.17, 0.00, 0.00, 1.04, 1.44, 0.87, 0.02, 0.00, 0.35, 0.00, 2.21, 0.14, 0.11, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
