frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.74, 1.15, 0.47, 0.00, 0.28, 0.12, 0.00, 0.67, 0.42, 1.21, 0.52, 0.76, 0.00, 0.65, 0.00, 0.14, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.69, 0.96, 0.31, 0.00, 0.28, 0.36, 0.00, 0.65, 0.48, 0.87, 0.51, 0.67, 0.00, 0.69, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.67, 0.87, 0.30, 0.15, 0.25, 0.43, 0.00, 0.71, 0.49, 0.67, 0.48, 0.63, 0.00, 0.67, 0.00, 0.42, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.68, 0.98, 0.32, 0.15, 0.22, 0.30, 0.00, 0.70, 0.45, 0.71, 0.36, 0.52, 0.08, 0.58, 0.00, 0.45, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.66, 0.98, 0.35, 0.20, 0.22, 0.26, 0.00, 0.80, 0.43, 0.73, 0.33, 0.50, 0.08, 0.48, 0.01, 0.50, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.62, 0.85, 0.31, 0.05, 0.26, 0.15, 0.00, 0.78, 0.39, 0.69, 0.26, 0.46, 0.08, 0.36, 0.14, 0.55, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.63, 0.74, 0.50, 0.07, 0.29, 0.32, 0.00, 0.87, 0.37, 0.69, 0.35, 0.53, 0.03, 0.21, 0.28, 0.69, 0.46, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.66, 0.55, 0.68, 0.02, 0.31, 0.35, 0.00, 0.87, 0.44, 0.70, 0.31, 0.59, 0.09, 0.08, 0.47, 0.83, 1.43, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
9,  0.000,  0.98,  1, 0.64, 0.42, 0.83, 0.02, 0.40, 0.54, 0.00, 0.87, 0.45, 0.78, 0.32, 0.48, 0.11, 0.00, 0.51, 0.97, 2.17, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
10,  0.000,  0.98,  1, 0.60, 0.32, 0.76, 0.00, 0.43, 0.59, 0.01, 0.87, 0.49, 0.65, 0.19, 0.33, 0.08, 0.00, 0.65, 1.09, 2.08, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
11,  0.000,  0.98,  1, 0.45, 0.15, 0.64, 0.00, 0.48, 0.68, 0.01, 0.82, 0.45, 0.40, 0.11, 0.14, 0.01, 0.00, 0.65, 1.22, 1.21, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
12,  0.000,  0.98,  1, 0.34, 0.11, 0.48, 0.00, 0.35, 0.50, 0.01, 0.76, 0.48, 0.16, 0.02, 0.14, 0.00, 0.00, 0.83, 1.30, 0.49, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
13,  0.000,  0.98,  1, 0.17, 0.00, 0.35, 0.00, 0.28, 0.20, 0.00, 0.73, 0.48, 0.03, 0.02, 0.11, 0.00, 0.00, 0.91, 1.26, 0.12, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
14,  0.000,  0.98,  1, 0.08, 0.00, 0.31, 0.00, 0.22, 0.16, 0.00, 0.74, 0.46, 0.00, 0.01, 0.07, 0.00, 0.00, 1.05, 1.25, 0.02, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
15,  0.000,  0.98,  1, 0.04, 0.00, 0.29, 0.02, 0.23, 0.20, 0.00, 0.82, 0.41, 0.01, 0.01, 0.08, 0.00, 0.00, 0.91, 1.12, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
16,  0.000,  0.98,  1, 0.00, 0.00, 0.21, 0.02, 0.24, 0.27, 0.00, 0.80, 0.40, 0.09, 0.00, 0.18, 0.00, 0.00, 0.59, 0.86, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
17,  0.000,  0.98,  1, 0.00, 0.00, 0.11, 0.02, 0.22, 0.20, 0.00, 0.76, 0.32, 0.27, 0.00, 0.20, 0.16, 0.03, 0.27, 0.51, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
18,  0.000,  0.98,  1, 0.03, 0.00, 0.10, 0.00, 0.23, 0.33, 0.00, 0.67, 0.29, 0.34, 0.00, 0.17, 0.22, 0.03, 0.13, 0.41, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0.000,  0.98,  1, 0.03, 0.00, 0.07, 0.00, 0.18, 0.20, 0.00, 0.61, 0.26, 0.28, 0.00, 0.07, 0.29, 0.03, 0.35, 0.57, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
