frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.03, 0.00, 0.25, 0.28, 0.40, 0.83, 0.00, 0.54, 0.70, 1.41, 0.39, 0.72, 0.00, 0.82, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.06, 0.06, 0.23, 0.39, 0.40, 0.70, 0.00, 0.68, 0.70, 1.35, 0.36, 0.47, 0.00, 0.68, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.05, 0.06, 0.23, 0.43, 0.43, 0.59, 0.00, 0.80, 0.69, 1.23, 0.32, 0.29, 0.13, 0.54, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.04, 0.06, 0.22, 0.38, 0.46, 0.56, 0.00, 0.89, 0.71, 1.08, 0.23, 0.30, 0.21, 0.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.06, 0.05, 0.24, 0.32, 0.48, 0.58, 0.00, 0.97, 0.71, 1.02, 0.16, 0.23, 0.28, 0.26, 0.02, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.10, 0.09, 0.31, 0.40, 0.48, 0.66, 0.00, 0.98, 0.67, 0.97, 0.15, 0.22, 0.15, 0.12, 0.17, 0.18, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.13, 0.06, 0.51, 0.30, 0.52, 0.69, 0.00, 1.05, 0.67, 0.85, 0.09, 0.10, 0.14, 0.03, 0.40, 0.41, 0.72, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.20, 0.06, 0.72, 0.22, 0.51, 0.71, 0.00, 1.12, 0.64, 0.71, 0.08, 0.08, 0.18, 0.00, 0.63, 0.69, 1.57, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0.000,  0.98,  1, 0.23, 0.01, 0.88, 0.00, 0.59, 0.83, 0.00, 1.17, 0.62, 0.42, 0.00, 0.03, 0.18, 0.00, 0.89, 1.05, 2.11, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
10,  0.000,  0.98,  1, 0.25, 0.00, 0.85, 0.00, 0.65, 1.07, 0.00, 1.08, 0.50, 0.20, 0.00, 0.03, 0.21, 0.00, 1.13, 1.35, 1.59, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
