frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.00, 0.01, 0.77, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.78, 0.96, 0.00, 0.86, 0.00, 0.00, 0.06, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.00, 0.01, 0.86, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.72, 1.01, 0.01, 0.88, 0.00, 0.00, 0.11, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.01, 0.09, 0.95, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.36, 0.61, 1.08, 0.01, 0.90, 0.00, 0.00, 0.09, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.01, 0.19, 1.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.37, 0.29, 0.86, 0.01, 0.76, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.16, 0.30, 1.14, 0.00, 0.00, 0.02, 0.02, 0.02, 0.00, 0.47, 0.15, 0.70, 0.16, 0.47, 0.00, 0.00, 0.69, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.43, 0.22, 1.18, 0.00, 0.00, 0.02, 0.03, 0.09, 0.00, 0.48, 0.00, 0.44, 0.31, 0.17, 0.36, 0.07, 1.75, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0.000,  0.98,  1, 0.62, 0.12, 1.28, 0.00, 0.00, 0.03, 0.10, 0.22, 0.00, 0.36, 0.00, 0.39, 0.32, 0.00, 0.91, 0.24, 2.57, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0.000,  0.98,  1, 0.67, 0.02, 1.31, 0.00, 0.00, 0.01, 0.15, 0.41, 0.00, 0.14, 0.00, 0.34, 0.16, 0.00, 1.42, 0.47, 2.24, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
9,  0.000,  0.98,  1, 0.56, 0.13, 1.37, 0.00, 0.00, 0.01, 0.20, 0.51, 0.00, 0.13, 0.00, 0.35, 0.02, 0.00, 1.45, 0.86, 1.18, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
10,  0.000,  0.98,  1, 0.48, 0.22, 1.26, 0.00, 0.00, 0.00, 0.13, 0.61, 0.00, 0.21, 0.00, 0.38, 0.05, 0.00, 1.45, 1.16, 0.35, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
11,  0.000,  0.98,  1, 0.38, 0.27, 1.13, 0.04, 0.00, 0.00, 0.07, 0.54, 0.00, 0.20, 0.00, 0.28, 0.11, 0.00, 1.52, 1.41, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
12,  0.000,  0.98,  1, 0.33, 0.24, 1.01, 0.04, 0.00, 0.00, 0.00, 0.52, 0.00, 0.11, 0.00, 0.20, 0.11, 0.00, 1.63, 1.41, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
13,  0.000,  0.98,  1, 0.29, 0.25, 1.07, 0.04, 0.00, 0.00, 0.03, 0.50, 0.00, 0.02, 0.00, 0.17, 0.07, 0.00, 1.75, 1.37, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
14,  0.000,  0.98,  1, 0.28, 0.29, 1.22, 0.01, 0.00, 0.00, 0.04, 0.51, 0.00, 0.02, 0.01, 0.19, 0.00, 0.00, 1.81, 1.33, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
15,  0.000,  0.98,  1, 0.25, 0.34, 1.31, 0.16, 0.00, 0.00, 0.05, 0.52, 0.00, 0.00, 0.01, 0.14, 0.00, 0.00, 1.95, 1.36, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
16,  0.000,  0.98,  1, 0.23, 0.37, 1.27, 0.16, 0.00, 0.00, 0.05, 0.46, 0.00, 0.07, 0.04, 0.07, 0.00, 0.00, 1.90, 1.47, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
17,  0.000,  0.98,  1, 0.19, 0.38, 1.15, 0.15, 0.00, 0.00, 0.04, 0.42, 0.00, 0.14, 0.03, 0.20, 0.02, 0.00, 1.66, 1.55, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
18,  0.000,  0.98,  1, 0.27, 0.31, 1.13, 0.00, 0.00, 0.00, 0.03, 0.33, 0.00, 0.28, 0.20, 0.69, 0.05, 0.08, 1.01, 1.26, 0.43, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0.000,  0.98,  1, 0.39, 0.18, 1.06, 0.08, 0.00, 0.00, 0.00, 0.21, 0.00, 0.45, 0.28, 0.88, 0.19, 0.08, 0.40, 0.82, 1.49, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
