frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.13, 0.66, 1.23, 0.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.63, 0.14, 0.30, 0.00, 0.00, 0.52, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.28, 0.40, 1.32, 0.35, 0.00, 0.00, 0.00, 0.13, 0.00, 0.42, 0.20, 0.36, 0.00, 0.00, 0.64, 0.19, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.36, 0.21, 1.40, 0.19, 0.00, 0.00, 0.00, 0.15, 0.00, 0.22, 0.15, 0.46, 0.00, 0.00, 0.84, 0.40, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.36, 0.10, 1.41, 0.07, 0.00, 0.00, 0.02, 0.20, 0.00, 0.15, 0.00, 0.47, 0.00, 0.00, 1.07, 0.72, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.38, 0.08, 1.44, 0.07, 0.00, 0.00, 0.04, 0.25, 0.00, 0.17, 0.00, 0.45, 0.00, 0.00, 1.27, 0.91, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.39, 0.08, 1.43, 0.02, 0.00, 0.00, 0.08, 0.36, 0.00, 0.21, 0.00, 0.36, 0.00, 0.00, 1.48, 1.01, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.36, 0.08, 1.46, 0.10, 0.00, 0.00, 0.15, 0.40, 0.00, 0.15, 0.00, 0.33, 0.00, 0.00, 1.58, 1.12, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.34, 0.12, 1.47, 0.10, 0.00, 0.00, 0.23, 0.48, 0.00, 0.23, 0.00, 0.22, 0.00, 0.00, 1.81, 1.10, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9,  0.000,  0.98,  1, 0.28, 0.09, 1.43, 0.08, 0.00, 0.00, 0.23, 0.53, 0.00, 0.22, 0.00, 0.12, 0.00, 0.00, 1.78, 1.08, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10,  0.000,  0.98,  1, 0.27, 0.04, 1.45, 0.00, 0.00, 0.00, 0.22, 0.51, 0.00, 0.23, 0.00, 0.03, 0.00, 0.00, 1.80, 1.03, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11,  0.000,  0.98,  1, 0.25, 0.13, 1.38, 0.00, 0.00, 0.00, 0.21, 0.47, 0.00, 0.18, 0.00, 0.03, 0.00, 0.00, 1.67, 1.01, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
12,  0.000,  0.98,  1, 0.21, 0.13, 1.42, 0.00, 0.00, 0.00, 0.30, 0.46, 0.00, 0.18, 0.00, 0.11, 0.03, 0.00, 1.58, 0.91, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
13,  0.000,  0.98,  1, 0.20, 0.15, 1.37, 0.00, 0.00, 0.00, 0.32, 0.44, 0.00, 0.31, 0.00, 0.13, 0.03, 0.00, 1.43, 0.77, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
14,  0.000,  0.98,  1, 0.12, 0.02, 1.42, 0.00, 0.00, 0.00, 0.32, 0.39, 0.00, 0.29, 0.00, 0.14, 0.03, 0.00, 1.38, 0.59, 0.02, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0.000,  0.98,  1, 0.09, 0.02, 1.42, 0.00, 0.00, 0.00, 0.25, 0.32, 0.00, 0.44, 0.00, 0.07, 0.00, 0.00, 1.33, 0.43, 0.06, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0.000,  0.98,  1, 0.01, 0.00, 1.39, 0.00, 0.00, 0.00, 0.16, 0.32, 0.00, 0.54, 0.00, 0.04, 0.00, 0.00, 1.37, 0.21, 0.04, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0.000,  0.98,  1, 0.00, 0.00, 1.29, 0.02, 0.00, 0.00, 0.05, 0.36, 0.00, 0.72, 0.00, 0.00, 0.09, 0.00, 1.39, 0.07, 0.04, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0.000,  0.98,  1, 0.00, 0.00, 1.21, 0.02, 0.00, 0.00, 0.00, 0.36, 0.00, 0.74, 0.00, 0.00, 0.09, 0.02, 1.43, 0.03, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0.000,  0.98,  1, 0.00, 0.06, 1.17, 0.02, 0.00, 0.03, 0.00, 0.41, 0.09, 0.76, 0.00, 0.02, 0.09, 0.04, 1.43, 0.01, 0.03, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0.000,  0.98,  1, 0.00, 0.06, 1.15, 0.00, 0.00, 0.03, 0.00, 0.38, 0.09, 0.72, 0.00, 0.02, 0.00, 0.04, 1.40, 0.00, 0.03, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0.000,  0.98,  1, 0.00, 0.06, 1.10, 0.00, 0.00, 0.06, 0.00, 0.38, 0.14, 0.84, 0.00, 0.03, 0.00, 0.05, 1.60, 0.01, 0.03, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0.000,  0.98,  1, 0.00, 0.00, 1.12, 0.00, 0.00, 0.03, 0.00, 0.45, 0.07, 0.85, 0.00, 0.06, 0.00, 0.03, 1.75, 0.10, 0.02, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0.000,  0.98,  1, 0.03, 0.00, 1.29, 0.01, 0.00, 0.05, 0.00, 0.61, 0.07, 0.79, 0.00, 0.17, 0.00, 0.03, 1.81, 0.27, 0.02, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0.000,  0.98,  1, 0.03, 0.01, 1.35, 0.01, 0.00, 0.02, 0.00, 0.70, 0.02, 0.55, 0.00, 0.36, 0.00, 0.00, 1.62, 0.49, 0.02, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0.000,  0.98,  1, 0.04, 0.11, 1.38, 0.01, 0.00, 0.02, 0.00, 0.66, 0.00, 0.35, 0.00, 0.45, 0.00, 0.00, 1.36, 0.55, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0.000,  0.98,  1, 0.03, 0.17, 1.25, 0.01, 0.00, 0.00, 0.00, 0.51, 0.00, 0.35, 0.00, 0.40, 0.00, 0.00, 1.35, 0.44, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0.000,  0.98,  1, 0.03, 0.17, 1.23, 0.01, 0.00, 0.00, 0.00, 0.44, 0.00, 0.42, 0.00, 0.22, 0.00, 0.00, 1.50, 0.21, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0.000,  0.98,  1, 0.05, 0.06, 1.26, 0.05, 0.00, 0.00, 0.00, 0.40, 0.00, 0.46, 0.00, 0.06, 0.00, 0.00, 1.76, 0.07, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0.000,  0.98,  1, 0.02, 0.00, 1.27, 0.05, 0.00, 0.00, 0.01, 0.38, 0.00, 0.53, 0.00, 0.00, 0.00, 0.00, 1.83, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0.000,  0.98,  1, 0.02, 0.00, 1.32, 0.05, 0.00, 0.00, 0.01, 0.44, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 1.93, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0.000,  0.98,  1, 0.00, 0.00, 1.24, 0.02, 0.00, 0.08, 0.01, 0.43, 0.06, 0.85, 0.00, 0.00, 0.00, 0.00, 1.90, 0.03, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0.000,  0.98,  1, 0.00, 0.00, 1.28, 0.00, 0.00, 0.08, 0.00, 0.57, 0.06, 0.89, 0.00, 0.06, 0.00, 0.00, 1.99, 0.03, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0.000,  0.98,  1, 0.03, 0.00, 1.30, 0.00, 0.00, 0.08, 0.04, 0.67, 0.06, 0.72, 0.01, 0.21, 0.00, 0.00, 1.93, 0.26, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
34,  0.000,  0.98,  1, 0.08, 0.00, 1.42, 0.00, 0.00, 0.01, 0.13, 0.72, 0.00, 0.46, 0.03, 0.37, 0.00, 0.00, 1.98, 0.53, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
35,  0.000,  0.98,  1, 0.08, 0.00, 1.44, 0.00, 0.00, 0.00, 0.16, 0.61, 0.00, 0.26, 0.03, 0.36, 0.00, 0.00, 1.87, 0.92, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
36,  0.000,  0.98,  1, 0.08, 0.00, 1.49, 0.00, 0.00, 0.00, 0.12, 0.50, 0.00, 0.20, 0.02, 0.27, 0.00, 0.00, 1.82, 1.11, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
37,  0.000,  0.98,  1, 0.03, 0.00, 1.51, 0.00, 0.00, 0.00, 0.03, 0.31, 0.00, 0.27, 0.00, 0.15, 0.01, 0.00, 1.73, 1.27, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
