frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.00, 0.03, 0.55, 0.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.09, 0.33, 0.67, 0.00, 0.42, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.00, 0.01, 0.53, 0.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.25, 0.57, 0.02, 0.32, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.03, 0.10, 0.53, 0.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.21, 0.52, 0.02, 0.23, 0.06, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.03, 0.22, 0.46, 0.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.28, 0.49, 0.02, 0.15, 0.04, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.03, 0.22, 0.40, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.38, 0.52, 0.00, 0.11, 0.15, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.00, 0.21, 0.37, 0.87, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.46, 0.45, 0.00, 0.08, 0.24, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.00, 0.09, 0.41, 0.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.35, 0.41, 0.00, 0.08, 0.43, 0.25, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.00, 0.14, 0.55, 0.99, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.32, 0.00, 0.07, 0.54, 0.43, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0.000,  0.98,  1, 0.00, 0.05, 0.58, 0.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.34, 0.00, 0.07, 0.63, 0.55, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0.000,  0.98,  1, 0.00, 0.05, 0.72, 0.50, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.04, 0.33, 0.00, 0.04, 0.65, 0.39, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
