frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.00, 0.00, 1.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.52, 0.00, 0.17, 0.89, 0.18, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.00, 0.00, 1.26, 0.00, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00, 0.06, 0.80, 0.32, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.00, 0.00, 1.27, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.02, 0.35, 0.00, 0.00, 0.73, 0.38, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.00, 0.00, 1.19, 0.00, 0.00, 0.23, 0.00, 0.00, 0.00, 0.00, 0.06, 0.29, 0.00, 0.00, 0.78, 0.34, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.00, 0.00, 1.27, 0.00, 0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 0.06, 0.22, 0.00, 0.00, 0.80, 0.22, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.00, 0.00, 1.16, 0.00, 0.00, 0.10, 0.03, 0.00, 0.00, 0.00, 0.13, 0.30, 0.00, 0.00, 0.91, 0.23, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.00, 0.00, 1.22, 0.01, 0.00, 0.23, 0.04, 0.00, 0.00, 0.00, 0.15, 0.27, 0.00, 0.00, 0.89, 0.34, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.00, 0.00, 1.30, 0.01, 0.00, 0.22, 0.09, 0.00, 0.00, 0.00, 0.17, 0.30, 0.00, 0.00, 1.03, 0.64, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0.000,  0.98,  1, 0.00, 0.00, 1.45, 0.01, 0.00, 0.23, 0.09, 0.00, 0.00, 0.00, 0.15, 0.25, 0.00, 0.00, 1.22, 0.92, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
10,  0.000,  0.98,  1, 0.04, 0.00, 1.45, 0.00, 0.00, 0.26, 0.12, 0.00, 0.00, 0.00, 0.09, 0.28, 0.00, 0.00, 1.49, 1.11, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
11,  0.000,  0.98,  1, 0.04, 0.00, 1.45, 0.00, 0.00, 0.37, 0.11, 0.00, 0.00, 0.00, 0.07, 0.19, 0.00, 0.00, 1.65, 1.19, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
12,  0.000,  0.98,  1, 0.04, 0.00, 1.34, 0.00, 0.00, 0.41, 0.14, 0.00, 0.00, 0.00, 0.01, 0.20, 0.00, 0.00, 1.74, 1.19, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
13,  0.000,  0.98,  1, 0.00, 0.00, 1.31, 0.08, 0.00, 0.36, 0.13, 0.00, 0.00, 0.00, 0.01, 0.20, 0.00, 0.00, 1.71, 1.14, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
14,  0.000,  0.98,  1, 0.00, 0.00, 1.28, 0.08, 0.00, 0.24, 0.10, 0.00, 0.00, 0.00, 0.02, 0.31, 0.00, 0.00, 1.55, 1.09, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
15,  0.000,  0.98,  1, 0.00, 0.00, 1.36, 0.08, 0.00, 0.32, 0.04, 0.00, 0.00, 0.00, 0.06, 0.45, 0.00, 0.02, 1.09, 0.90, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
16,  0.000,  0.98,  1, 0.00, 0.00, 1.55, 0.00, 0.00, 0.60, 0.03, 0.00, 0.00, 0.00, 0.08, 0.51, 0.00, 0.02, 0.86, 0.83, 0.37, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
17,  0.000,  0.98,  1, 0.32, 0.00, 1.72, 0.00, 0.00, 0.82, 0.02, 0.00, 0.00, 0.00, 0.13, 0.45, 0.00, 0.02, 1.04, 0.73, 1.22, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
18,  0.000,  0.98,  1, 0.72, 0.34, 1.86, 0.00, 0.00, 1.03, 0.02, 0.00, 0.00, 0.00, 0.08, 0.29, 0.00, 0.00, 1.23, 0.83, 2.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
19,  0.000,  0.98,  1, 1.03, 0.75, 1.77, 0.00, 0.00, 1.13, 0.00, 0.00, 0.00, 0.00, 0.05, 0.37, 0.00, 0.07, 0.93, 0.83, 2.24, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
20,  0.000,  0.98,  1, 0.97, 1.07, 1.58, 0.00, 0.00, 1.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.43, 0.00, 0.15, 0.35, 0.72, 1.71, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
