frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0.000,  0.98,  1, 0.00, 0.00, 1.25, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.76, 0.00, 0.14, 0.00, 0.00, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0.000,  0.98,  1, 0.00, 0.00, 1.03, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05, 0.67, 0.00, 0.11, 0.00, 0.08, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0.000,  0.98,  1, 0.07, 0.00, 1.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.65, 0.00, 0.11, 0.00, 0.13, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0.000,  0.98,  1, 0.07, 0.00, 1.08, 0.09, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.13, 0.63, 0.03, 0.14, 0.00, 0.13, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0.000,  0.98,  1, 0.07, 0.00, 1.13, 0.10, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.20, 0.60, 0.04, 0.10, 0.00, 0.07, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0.000,  0.98,  1, 0.00, 0.00, 1.04, 0.05, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.16, 0.53, 0.04, 0.07, 0.00, 0.03, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0.000,  0.98,  1, 0.00, 0.00, 0.94, 0.02, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.11, 0.50, 0.01, 0.06, 0.03, 0.14, 0.11, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0.000,  0.98,  1, 0.00, 0.00, 0.90, 0.02, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.05, 0.41, 0.00, 0.06, 0.06, 0.20, 0.11, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0.000,  0.98,  1, 0.00, 0.00, 0.96, 0.00, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.04, 0.37, 0.00, 0.03, 0.07, 0.37, 0.10, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0.000,  0.98,  1, 0.01, 0.00, 1.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.33, 0.00, 0.01, 0.22, 0.53, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0.000,  0.98,  1, 0.03, 0.00, 1.12, 0.00, 0.00, 0.01, 0.01, 0.00, 0.00, 0.00, 0.04, 0.30, 0.00, 0.00, 0.36, 0.65, 0.17, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0.000,  0.98,  1, 0.03, 0.00, 1.17, 0.09, 0.00, 0.01, 0.01, 0.00, 0.00, 0.00, 0.06, 0.23, 0.00, 0.00, 0.56, 0.74, 0.17, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
13,  0.000,  0.98,  1, 0.07, 0.10, 1.22, 0.13, 0.00, 0.20, 0.01, 0.00, 0.00, 0.00, 0.06, 0.24, 0.00, 0.00, 0.56, 0.69, 0.17, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
14,  0.000,  0.98,  1, 0.05, 0.10, 1.28, 0.13, 0.00, 0.23, 0.00, 0.00, 0.01, 0.00, 0.06, 0.20, 0.00, 0.00, 0.60, 0.70, 0.04, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
